# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283284196 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.230728
# Diagonal elements of inverse mass matrix:
# 0.00397548, 0.00581114, 0.00480184, 0.0394736, 0.0277306, 0.00500012
-23.7449,0.956834,0.230728,4,15,0,25.4165,0.0173589,0.0920892,0.33939,4.14607,2.62745,1.73493,0.988953,0.945212,0.833443,0.444955,0.927688,0.727427,0.470125,0.168138
-22.5268,0.848509,0.230728,4,15,0,29.6005,0.0191154,0.0824203,0.296913,2.95606,2.68217,1.50461,0.987731,0.94985,0.846211,0.459853,0.920335,0.740001,0.475822,0.146494
-22.836,0.96494,0.230728,4,31,0,24.4916,0.0200733,0.0819104,0.322585,2.93633,2.68066,1.51291,0.987131,0.950161,0.835956,0.461694,0.916786,0.741357,0.459187,0.147855
-21.3943,0.977624,0.230728,4,15,0,24.76,0.0169693,0.0834651,0.332752,3.11704,2.78678,1.64632,0.988921,0.948655,0.831321,0.460372,0.928637,0.741285,0.464828,0.159415
-22.663,0.783003,0.230728,4,15,0,28.6646,0.0179014,0.0921344,0.334361,2.94019,2.54623,1.64447,0.988762,0.945769,0.836146,0.481681,0.925593,0.725,0.465391,0.167723
-23.4,0.996767,0.230728,4,15,0,26.1751,0.0181459,0.0816561,0.281751,2.23797,3.14323,1.50095,0.987586,0.947168,0.844109,0.480922,0.923167,0.739393,0.483823,0.158078
-25.2402,0.988965,0.230728,3,7,0,26.1082,0.0185654,0.0858419,0.29647,2.30041,3.92447,1.51382,0.98632,0.940573,0.827092,0.451501,0.920639,0.728217,0.471089,0.153426
-28.9117,0.717896,0.230728,4,15,0,32.1904,0.0159724,0.0814884,0.280015,1.99252,2.86926,1.30419,0.989419,0.948777,0.847496,0.495737,0.931556,0.73512,0.467984,0.14456
-26.0183,1,0.230728,4,15,0,31.3025,0.0185057,0.0883538,0.293819,1.96376,3.66745,1.47847,0.986646,0.940132,0.830923,0.484266,0.921034,0.722467,0.470512,0.164759
-25.9481,0.981607,0.230728,4,31,0,30.8285,0.017152,0.0882059,0.261457,2.03211,4.31953,1.39123,0.986979,0.937203,0.838194,0.452826,0.925469,0.718203,0.485599,0.148124
-25.5047,0.693343,0.230728,3,15,0,30.5285,0.0167194,0.0767486,0.26938,2.09911,3.85045,1.2775,0.987713,0.946402,0.837651,0.446388,0.927293,0.741821,0.46938,0.131123
-23.7206,0.986101,0.230728,4,15,0,27.1991,0.0170571,0.0761149,0.253913,1.7738,4.80004,1.31889,0.986682,0.943654,0.837276,0.463775,0.925321,0.742532,0.48419,0.151121
