# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395905 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.114315
# Diagonal elements of inverse mass matrix:
# 0.0102392, 0.00877644, 0.00982526, 0.0179169, 0.226457, 0.0271319
-32.0886,0.91246,0.114315,4,15,0,34.1009,0.0138396,0.0945516,0.381502,0.753766,11.4722,0.505457,0.987487,0.91902,0.725933,0.554989,0.935337,0.658872,0.267599,0.124147
-30.7731,1,0.114315,3,7,0,32.4977,0.0138794,0.0971482,0.366805,0.81119,12.5173,0.518087,0.987353,0.916356,0.732959,0.532894,0.935095,0.652446,0.279739,0.11499
-28.2057,0.921981,0.114315,5,31,0,34.1736,0.0179657,0.0961443,0.361121,0.759899,19.7775,0.511065,0.98316,0.914657,0.729217,0.541393,0.916715,0.653159,0.280936,0.122708
-28.0143,0.935791,0.114315,5,31,0,30.0132,0.0167994,0.100721,0.368294,0.772138,18.4944,0.51337,0.984298,0.911189,0.725906,0.538154,0.921857,0.641736,0.276412,0.120766
-32.2233,0.905005,0.114315,4,19,0,34.0723,0.015941,0.086018,0.363869,0.7407,29.534,0.474873,0.984772,0.92173,0.722496,0.540206,0.92523,0.677776,0.27127,0.119114
-27.608,0.999083,0.114315,5,47,0,33.7596,0.0185905,0.118846,0.493002,1.09739,3.98815,0.874608,0.986175,0.917681,0.728604,0.548166,0.918478,0.632265,0.280423,0.141878
-26.4315,1,0.114315,3,7,0,28.6946,0.0190208,0.117187,0.495349,1.17705,3.80455,0.832384,0.986058,0.919718,0.729524,0.532209,0.916793,0.633799,0.273129,0.126479
-26.8546,0.991689,0.114315,3,15,0,27.5712,0.0192802,0.119238,0.496059,1.17022,4.05119,0.888786,0.985604,0.917111,0.726805,0.53223,0.915678,0.632106,0.281185,0.135802
-26.3941,0.904289,0.114315,3,15,0,27.5005,0.0191942,0.117624,0.501861,1.14921,3.84099,0.884746,0.985896,0.919378,0.728018,0.541622,0.916231,0.635806,0.278759,0.137953
-28.7293,0.936156,0.114315,5,63,0,30.3345,0.0192599,0.134039,0.594193,1.39535,2.78326,1.00879,0.987409,0.919068,0.725853,0.546217,0.918003,0.617506,0.269412,0.13869
-27.4502,0.95855,0.114315,5,39,0,32.6209,0.0194092,0.126474,0.475784,1.14647,3.94079,0.808715,0.98562,0.912907,0.734259,0.532903,0.914993,0.61326,0.277517,0.125483
-28.4503,0.344583,0.114315,2,7,0,33.0606,0.0196211,0.128347,0.495099,1.11521,3.98956,0.783863,0.985409,0.91132,0.724648,0.536322,0.913996,0.607807,0.264456,0.124688
-26.1956,0.97944,0.114315,5,47,0,29.4479,0.0177974,0.099441,0.430785,0.932817,6.11831,0.697642,0.985295,0.922401,0.726451,0.540557,0.91981,0.660588,0.276522,0.130564
-26.2972,0.983092,0.114315,4,15,0,27.4568,0.0185566,0.102549,0.427995,0.917177,6.61537,0.704689,0.984457,0.919073,0.724823,0.541133,0.91646,0.652985,0.278622,0.1338
-26.1415,0.988201,0.114315,5,31,0,26.8797,0.0167798,0.106913,0.396468,0.854757,7.59526,0.601175,0.985599,0.913702,0.732153,0.543868,0.923352,0.635862,0.277864,0.124596
-25.771,0.997161,0.114315,5,47,0,26.9066,0.0179507,0.110249,0.446518,0.971954,5.26742,0.701506,0.985623,0.917102,0.726231,0.540114,0.919591,0.637182,0.270232,0.126442
-26.3185,0.967364,0.114315,4,23,0,27.437,0.0162624,0.109676,0.440099,1.0044,5.32954,0.748111,0.98693,0.917451,0.73018,0.534841,0.926769,0.641026,0.281447,0.130015
-26.8866,0.982364,0.114315,4,31,0,28.4732,0.0202327,0.113249,0.441722,1.01866,5.30057,0.766355,0.983807,0.915131,0.730316,0.533224,0.910392,0.634341,0.283722,0.131288
-28.7749,0.888292,0.114315,3,7,0,31.6199,0.0201642,0.118439,0.458089,1.01856,4.1602,0.689444,0.984815,0.916337,0.734319,0.546916,0.911265,0.621302,0.264934,0.119845
-30.8546,0.986299,0.114315,3,7,0,31.7998,0.0210932,0.114427,0.438855,0.985987,5.78561,0.826224,0.982822,0.913009,0.729485,0.540932,0.906869,0.634522,0.294231,0.145418
-26.6145,0.834444,0.114315,4,31,0,35.1659,0.0187694,0.115377,0.507588,1.17694,3.68095,0.831618,0.986384,0.921653,0.727053,0.535736,0.917949,0.637948,0.26823,0.126709
-26.3449,0.935988,0.114315,5,31,0,28.9006,0.0178614,0.123653,0.463469,1.03611,4.43503,0.77185,0.986294,0.911761,0.730665,0.543755,0.920735,0.614962,0.275684,0.131275
-26.4222,0.989496,0.114315,5,31,0,26.9856,0.0191243,0.100841,0.434187,0.950136,5.96797,0.725275,0.984293,0.921828,0.726865,0.539695,0.914437,0.658906,0.27965,0.132994
-26.1049,0.966107,0.114315,5,31,0,27.7211,0.0178188,0.115017,0.415067,0.888166,6.69493,0.65387,0.985031,0.90963,0.728962,0.544571,0.919362,0.621557,0.276968,0.129254
-28.223,0.992227,0.114315,3,15,0,28.6401,0.0178355,0.121619,0.404092,0.888029,8.19808,0.662628,0.984543,0.902059,0.727851,0.535561,0.918894,0.606373,0.283523,0.129929
-26.3524,0.998387,0.114315,4,31,0,30.3462,0.0192458,0.115463,0.415205,0.90105,6.6898,0.669065,0.983852,0.909379,0.729439,0.542088,0.91343,0.621545,0.279553,0.129919
-27.6848,0.90364,0.114315,5,31,0,29.1809,0.0205902,0.101988,0.429091,0.923492,6.56343,0.674263,0.982799,0.919494,0.723537,0.53701,0.907925,0.652726,0.272795,0.127436
-29.9705,0.84571,0.114315,4,31,0,32.3782,0.0197888,0.10473,0.396211,0.799193,8.77587,0.609987,0.982713,0.91375,0.728151,0.556811,0.910335,0.640634,0.278653,0.135852
-27.743,0.971517,0.114315,2,7,0,32.831,0.0201215,0.104089,0.389628,0.823557,8.81473,0.600666,0.982415,0.914161,0.731207,0.547615,0.908893,0.641601,0.281125,0.129452
-30.029,0.882242,0.114315,5,31,0,32.7244,0.0156429,0.102069,0.440193,0.890028,6.35248,0.669798,0.986962,0.919871,0.719353,0.548372,0.928774,0.652551,0.266278,0.132115
-29.3763,0.951985,0.114315,5,47,0,34.9737,0.0177885,0.119015,0.461845,1.15144,4.14923,0.794088,0.986602,0.916381,0.736243,0.525312,0.921343,0.626619,0.281018,0.122043
-28.5679,0.426644,0.114315,3,15,0,36.0407,0.0184154,0.115908,0.465777,1.13179,4.58733,0.825172,0.985753,0.916331,0.729436,0.523227,0.91851,0.633682,0.283052,0.128515
-27.3732,0.833431,0.114315,3,15,0,32.1155,0.0194388,0.118069,0.495617,1.09144,4.01673,0.785381,0.985513,0.917715,0.724021,0.541167,0.914711,0.628463,0.264397,0.127629
-28.4089,0.982918,0.114315,5,47,0,29.4978,0.019261,0.130425,0.552099,1.26301,3.14996,0.892023,0.986773,0.916934,0.724959,0.542527,0.916926,0.614498,0.2631,0.129889
-29.3493,0.543961,0.114315,4,23,0,31.4335,0.0178215,0.12595,0.511982,1.28251,3.25722,0.946192,0.987602,0.918773,0.738476,0.539461,0.922675,0.625633,0.286778,0.136229
-30.1868,0.941432,0.114315,5,31,0,31.4372,0.0208832,0.117284,0.557481,1.29013,2.92235,0.960374,0.986088,0.926892,0.731917,0.553013,0.911223,0.644927,0.273462,0.139378
-26.3794,0.864905,0.114315,5,31,0,32.3641,0.0175928,0.121312,0.465159,1.06433,4.18384,0.765396,0.986714,0.914602,0.73337,0.541766,0.922032,0.620031,0.274495,0.12713
-26.4058,0.893962,0.114315,4,31,0,27.6986,0.0183261,0.11337,0.478197,1.07865,4.56502,0.808944,0.985838,0.918066,0.723876,0.534298,0.91884,0.638123,0.274623,0.132015
-26.5767,0.991919,0.114315,4,31,0,27.7095,0.0177808,0.110374,0.458943,1.07796,4.72048,0.804993,0.986135,0.919395,0.730075,0.531259,0.920959,0.643941,0.282701,0.131175
-26.9722,0.936997,0.114315,4,23,0,29.7998,0.0190702,0.110435,0.438984,1.01079,4.63728,0.710014,0.9852,0.919402,0.736877,0.540784,0.915397,0.638615,0.277026,0.123547
-32.1195,1,0.114315,5,31,0,34.0033,0.0148104,0.087399,0.357011,0.73794,26.6603,0.448351,0.985891,0.920749,0.726504,0.539936,0.930241,0.672792,0.271469,0.11456
-30.8387,0.98603,0.114315,4,15,0,33.6916,0.0152434,0.0912619,0.359408,0.735564,19.2554,0.437502,0.985697,0.918591,0.727994,0.544406,0.928479,0.662274,0.268379,0.113383
