# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395116 (Default)
# output
#   file = sporadic-survival-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.104351
# Diagonal elements of inverse mass matrix:
# 0.0113023, 0.00918967, 0.0124964, 0.023643, 0.206178, 0.0281754
-26.8285,0.939184,0.104351,5,55,0,29.6901,0.0189562,0.110457,0.401656,0.839247,7.96808,0.587271,0.98364,0.910403,0.727405,0.545458,0.91395,0.6264,0.271807,0.124517
-26.4034,0.989453,0.104351,5,31,0,28.2168,0.0196588,0.100152,0.421861,0.921863,6.37597,0.668149,0.98365,0.921218,0.728033,0.538598,0.911831,0.657009,0.275984,0.126744
-30.6299,0.943023,0.104351,5,63,0,34.0956,0.0229405,0.101425,0.458971,1.01313,5.21743,0.787738,0.981745,0.923692,0.724067,0.537695,0.899636,0.661952,0.278778,0.135788
-31.4063,0.923457,0.104351,5,63,0,33.7971,0.0147626,0.140725,0.554698,1.33314,3.07858,0.922179,0.989919,0.911816,0.727042,0.535578,0.935289,0.598376,0.267438,0.128708
-27.3462,0.969395,0.104351,5,31,0,33.9383,0.017725,0.131095,0.526666,1.23778,3.24352,0.893314,0.987683,0.915688,0.731731,0.543712,0.92293,0.612842,0.272532,0.132111
-29.0767,0.875273,0.104351,3,15,0,31.3363,0.0163467,0.120634,0.549151,1.33965,3.3288,0.981227,0.988529,0.921443,0.724446,0.529886,0.928622,0.637416,0.277549,0.136301
-27.1052,0.808238,0.104351,5,55,0,32.9818,0.0202684,0.111556,0.45422,1.06615,4.83653,0.792441,0.984126,0.918086,0.730374,0.530925,0.910661,0.640426,0.282679,0.130318
-28.393,0.863167,0.104351,4,15,0,29.4277,0.0195999,0.112022,0.462794,0.994084,4.28911,0.736758,0.985111,0.920033,0.731866,0.554318,0.913616,0.637594,0.270446,0.131111
-31.3093,0.9816,0.104351,5,31,0,33.4561,0.022525,0.118679,0.508418,1.20809,3.63918,0.803243,0.983759,0.919783,0.726616,0.528057,0.902929,0.629652,0.263286,0.119
-27.4684,0.990736,0.104351,4,23,0,33.6359,0.0181725,0.118795,0.463844,1.09553,4.7778,0.815825,0.985791,0.913536,0.727626,0.527142,0.91934,0.626721,0.281988,0.130804
-30.6812,0.902306,0.104351,5,63,0,34.8888,0.0229872,0.127812,0.543206,1.29847,3.46597,0.95513,0.983718,0.915976,0.722466,0.530027,0.90209,0.621723,0.27503,0.135381
-29.8901,0.996672,0.104351,5,31,0,33.202,0.0228235,0.111859,0.525983,1.27102,3.1813,0.926893,0.984313,0.927717,0.73465,0.542787,0.903079,0.652615,0.278515,0.134566
-28.1506,0.804062,0.104351,5,31,0,31.7843,0.0188462,0.132735,0.548354,1.30011,3.29624,0.928981,0.986841,0.914379,0.723746,0.53338,0.918469,0.611846,0.269725,0.131742
-29.8546,0.542982,0.104351,5,63,0,34.0129,0.0177488,0.139007,0.634037,1.71293,2.27851,1.08117,0.989377,0.923366,0.736135,0.53981,0.925355,0.617724,0.272694,0.133755
-32.269,0.681037,0.104351,4,23,0,33.4775,0.0181066,0.136438,0.655269,1.6313,2.42901,1.02902,0.988834,0.922324,0.721603,0.534979,0.923401,0.617408,0.256975,0.12849
-30.4483,1,0.104351,5,31,0,34.2281,0.0236143,0.126064,0.563662,1.459,2.92912,1.02967,0.984293,0.922015,0.731862,0.531334,0.90106,0.632094,0.281997,0.13599
-29.3806,0.965736,0.104351,5,31,0,32.9675,0.0232822,0.12116,0.578472,1.44254,2.78789,1.00988,0.984813,0.926165,0.730805,0.538858,0.902552,0.641007,0.274775,0.135117
-29.3475,0.776911,0.104351,5,31,0,33.5954,0.0206108,0.144369,0.563123,1.4213,3.02484,1.01695,0.986086,0.910691,0.728822,0.531709,0.912291,0.598883,0.279659,0.136426
-32.3785,0.758505,0.104351,5,39,0,36.8954,0.0230783,0.143181,0.491035,1.14916,3.75512,0.824769,0.983201,0.903925,0.731932,0.538813,0.9007,0.583965,0.273944,0.128334
-33.4027,0.90387,0.104351,5,31,0,35.4126,0.0157345,0.111813,0.644199,1.68613,2.38112,1.05871,0.990371,0.935936,0.72788,0.533969,0.932928,0.664691,0.265209,0.130366
-29.7637,0.657067,0.104351,4,15,0,34.6523,0.01671,0.118097,0.597692,1.48311,2.64898,1.04714,0.989283,0.929443,0.730705,0.54327,0.928432,0.649785,0.275201,0.138801
-29.8046,0.947044,0.104351,3,7,0,31.278,0.0168211,0.117939,0.608535,1.59231,2.54351,1.0532,0.989402,0.93073,0.731518,0.534927,0.928234,0.651203,0.273555,0.133238
-31.5118,0.938226,0.104351,4,15,0,32.0145,0.0164143,0.116462,0.617212,1.64381,2.58944,1.12116,0.989577,0.931169,0.729343,0.531544,0.929908,0.657101,0.280739,0.13962
-29.9428,0.649909,0.104351,5,31,0,36.4852,0.0225008,0.109094,0.527122,1.3016,3.35402,0.958936,0.984238,0.928147,0.731011,0.533644,0.904163,0.659149,0.282267,0.1361
-30.5411,0.951909,0.104351,4,15,0,32.3041,0.0230965,0.110319,0.525718,1.19536,3.28671,0.848297,0.983929,0.92762,0.729517,0.546517,0.901469,0.651162,0.26531,0.128871
-29.3021,0.991201,0.104351,3,7,0,31.0129,0.0228458,0.110301,0.520776,1.23176,3.55153,0.895098,0.983675,0.925863,0.726816,0.534348,0.902227,0.652516,0.273747,0.131866
-28.6223,0.94596,0.104351,5,31,0,31.7987,0.0195008,0.136605,0.531473,1.34411,3.27076,0.950074,0.98643,0.912421,0.731149,0.52851,0.915979,0.606405,0.279587,0.131295
-26.7651,0.508437,0.104351,5,63,0,34.9715,0.0189838,0.110516,0.482934,1.08613,3.95669,0.76018,0.985909,0.922855,0.729422,0.541706,0.916533,0.643241,0.265982,0.124134
-32.57,0.464693,0.104351,3,7,0,33.9645,0.0177502,0.108125,0.471866,1.10108,4.28201,0.923549,0.986522,0.923194,0.734207,0.544787,0.921774,0.656176,0.296731,0.148788
-30.308,0.984613,0.104351,5,31,0,33.4508,0.0166823,0.10965,0.460376,1.04943,3.88371,0.749186,0.987667,0.923801,0.739823,0.551314,0.926028,0.64477,0.275074,0.126912
-28.0213,0.986825,0.104351,4,31,0,34.2383,0.0186685,0.108245,0.446931,0.971071,4.52978,0.702762,0.985595,0.921327,0.734417,0.552578,0.91711,0.643365,0.271884,0.127911
-28.4219,0.991563,0.104351,5,63,0,30.7197,0.0199315,0.112773,0.405956,0.888325,6.48197,0.670077,0.983378,0.911799,0.735312,0.547749,0.910664,0.627803,0.285405,0.132334
-27.2214,0.970287,0.104351,5,63,0,31.5084,0.0198353,0.10832,0.429103,0.968169,5.96917,0.676504,0.98371,0.91629,0.72761,0.530254,0.911313,0.63891,0.273977,0.121791
-27.3135,0.859782,0.104351,4,31,0,30.9315,0.0189676,0.0992121,0.394804,0.885054,8.3908,0.63499,0.98352,0.918525,0.731039,0.532948,0.913971,0.655625,0.284228,0.125305
-27.8741,0.982972,0.104351,5,31,0,29.9936,0.0171833,0.0954163,0.409995,0.845378,7.26668,0.622958,0.985359,0.922957,0.727427,0.550942,0.921781,0.665326,0.273839,0.130481
-27.0436,0.992365,0.104351,4,31,0,28.9839,0.0175867,0.103429,0.394261,0.871893,7.00968,0.608331,0.985104,0.917342,0.736317,0.543069,0.920097,0.645138,0.281121,0.123385
-27.29,0.997228,0.104351,5,31,0,29.3637,0.0181945,0.10186,0.373505,0.800375,11.2111,0.51703,0.983636,0.913403,0.731329,0.539741,0.91636,0.640917,0.275346,0.117114
-27.7505,0.866132,0.104351,5,47,0,31.676,0.0159149,0.107889,0.435842,0.978216,6.06986,0.703267,0.986853,0.916433,0.724576,0.528922,0.9278,0.641289,0.274836,0.125007
-27.5918,0.994411,0.104351,3,7,0,28.8138,0.0158935,0.109736,0.422689,0.933548,6.11787,0.735075,0.986854,0.915099,0.731603,0.543659,0.927954,0.638902,0.287358,0.137067
-27.4271,0.998643,0.104351,3,7,0,28.2113,0.0160243,0.109403,0.436455,0.931467,6.51408,0.697904,0.986589,0.914269,0.721121,0.537274,0.927162,0.636977,0.272997,0.130473
-26.6906,0.994256,0.104351,3,7,0,28.0996,0.0160923,0.110675,0.42299,0.963644,5.59497,0.694947,0.986924,0.915734,0.734109,0.537494,0.927222,0.635263,0.281164,0.126078
-29.9588,0.907817,0.104351,3,15,0,31.403,0.0146334,0.103498,0.439144,0.899631,5.72993,0.669025,0.988036,0.920362,0.724418,0.551839,0.933333,0.650009,0.267593,0.131021
-30.1834,0.994694,0.104351,5,31,0,32.8021,0.0195406,0.105437,0.359934,0.770719,15.133,0.544845,0.982005,0.908559,0.734598,0.545364,0.910315,0.632556,0.288791,0.127532
-29.971,0.959143,0.104351,3,7,0,32.1788,0.0199215,0.106772,0.380048,0.769249,16.0468,0.550145,0.981588,0.907159,0.722399,0.545185,0.908649,0.629453,0.27555,0.128726
