# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-1.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.117832
# Diagonal elements of inverse mass matrix:
# 0.00402287, 0.00178843, 0.0606368, 1.03347, 1.5358, 2.54036, 0.130208, 32.3695, 0.0671733, 1.79788, 0.965815, 2.46967, 1.44191, 0.212909, 0.443374, 1.05055, 0.126523, 0.061787, 0.613176, 1.81703, 1.09289, 0.0742128, 0.154101, 0.170865, 0.0356365, 0.120044
4968.05,0.975109,0.117832,5,31,0,-4954.73,-4.67729,-4.93191,-4.55025,0.0380094,0.0491171,0.00964443,0.219087,44.1082,53.3071,0.46788,0.228393,0.19098,0.102409,0.184629,0.260941,0.0606837,0.120698,0.0786421,0.055331,0.0524797,0.00392763,1.79449,4.25043,0.217858,0.621761,0.285382,0.0928574
4965.91,0.957376,0.117832,5,31,0,-4954.45,-4.88981,-4.55353,-4.85482,0.041476,0.0439191,0.0168468,0.174141,25.8527,23.5995,0.489582,0.173825,0.281955,0.0050066,0.186106,0.31486,0.0936121,0.112408,0.0861007,0.0772028,0.00314444,0.00756353,1.60657,0.986,0.737523,0.60223,0.301361,0.096409
4965.58,0.956383,0.117832,5,31,0,-4950.63,-4.94011,-4.7289,-4.68304,0.0446977,0.0481952,0.0163904,0.183438,30.4195,20.5174,0.497845,0.269506,0.0287067,0.0303223,0.165466,0.27252,0.0452661,0.0982834,0.0667138,0.0679203,0.0351228,0.00586209,1.21544,0.94508,0.223006,0.614079,0.319854,0.0660669
4967.71,0.880633,0.117832,5,31,0,-4952.24,-5.06813,-5.03911,-4.91421,0.0376594,0.0480466,0.00195398,0.151115,35.8274,29.6951,0.49389,0.0573662,0.355461,0.0486967,0.197257,0.381623,0.0169038,0.149347,0.0958907,0.11009,0.00826332,0.00711703,1.6027,4.52351,0.623103,0.625333,0.23519,0.139477
4966.81,0.908723,0.117832,5,31,0,-4955.1,-5.01333,-4.96444,-4.15499,0.0466295,0.0459745,0.0125063,0.194282,30.9614,33.0537,0.451023,0.390354,0.135004,0.0677288,0.235942,0.357467,0.059174,0.119806,0.104421,0.0462137,0.0216483,0.000924513,1.45742,2.46621,0.41999,0.581839,0.34551,0.0726512
4967.6,0.98601,0.117832,5,31,0,-4959.23,-4.72606,-5.03968,-5.42789,0.0327859,0.0496475,0.00333848,0.137591,41.0234,38.2048,0.493403,0.145189,0.379949,0.0265867,0.107699,0.302888,0.0385319,0.0844471,0.0865025,0.0725025,0.00825548,0.0183772,1.42055,1.48652,0.435848,0.63518,0.252229,0.112591
4965.7,0.996198,0.117832,5,63,0,-4954.93,-5.06403,-4.74868,-5.27315,0.0456325,0.0479091,0.00160316,0.177118,31.5502,36.8316,0.479403,0.00638872,0.449082,0.011689,0.121409,0.310242,0.0309212,0.0988147,0.0898823,0.114475,0.0270879,0.00540987,1.93868,1.67366,0.368387,0.587108,0.247766,0.165126
4962.96,0.98801,0.117832,5,31,0,-4952.1,-4.85582,-4.68447,-4.95862,0.0428021,0.0454565,0.00284331,0.195268,35.2658,33.0755,0.495878,0.00448366,0.362939,0.0059771,0.135847,0.338303,0.0418033,0.081022,0.0859752,0.126376,0.0115691,0.00635317,2.34292,1.8425,0.269373,0.614615,0.20698,0.178405
4957.68,0.777565,0.117832,5,31,0,-4950.51,-4.86012,-4.5579,-4.70618,0.0483437,0.0478658,0.0053595,0.207483,32.8938,31.5455,0.476055,0.00443071,0.374199,0.00436028,0.118462,0.330646,0.0497678,0.0666057,0.0767518,0.0868779,0.0282714,0.0118878,2.79171,1.03794,0.537589,0.664415,0.222167,0.113419
4965.16,0.926577,0.117832,5,31,0,-4944.21,-5.04235,-5.1948,-5.03267,0.0367397,0.0483883,0.0104947,0.101958,35.5279,32.2868,0.496669,0.341055,0.265737,0.0182366,0.278883,0.2471,0.0333902,0.195361,0.0898394,0.0686023,0.00692763,0.00990351,1.4083,2.28553,0.215256,0.599821,0.296545,0.103634
