# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-2.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.113347
# Diagonal elements of inverse mass matrix:
# 0.00310997, 0.00131789, 0.162253, 0.703535, 1.35832, 2.3302, 0.103163, 30.3088, 0.0580062, 1.76044, 0.74844, 2.2819, 2.37082, 0.179285, 0.728487, 1.33644, 0.12358, 0.0625029, 0.848459, 1.62877, 1.00466, 0.0639119, 0.154982, 0.151152, 0.0385206, 0.13702
4965.05,0.949276,0.113347,5,31,0,-4951.56,-5.04514,-5.03212,-3.46506,0.0377961,0.0489612,0.00214247,0.143687,27.9755,33.6166,0.455654,0.29109,0.00631318,0.0286496,0.175194,0.323953,0.0337303,0.138994,0.103185,0.0168492,0.00860423,0.00472106,0.963611,2.10597,0.432389,0.628448,0.319081,0.0524708
4963.59,0.988572,0.113347,5,31,0,-4948.43,-4.76446,-5.07288,-3.71896,0.0399353,0.0494316,0.00105341,0.194119,30.3563,29.921,0.486445,0.219045,0.0118465,0.0130821,0.265608,0.294773,0.017773,0.113027,0.0881999,0.0360525,0.0217133,0.0172994,1.28072,2.93132,0.421009,0.598398,0.353156,0.0484464
4968.49,0.506918,0.113347,5,31,0,-4949.06,-4.9978,-4.95002,-3.51917,0.0463323,0.0491606,0.00306237,0.190585,34.6396,30.0758,0.488053,0.238431,0.25079,0.0370357,0.159616,0.343314,0.0547956,0.0959744,0.0969041,0.0260849,0.0236754,0.0073618,1.18685,3.39315,0.37918,0.592699,0.326727,0.0805748
4967.38,0.970247,0.113347,4,31,0,-4956.01,-4.8659,-4.75995,-3.87539,0.0414391,0.0440931,0.0126048,0.190177,30.3485,23.8125,0.480757,0.231373,0.0467267,0.0584293,0.202363,0.375726,0.0130008,0.108226,0.102215,0.0441615,0.00589203,0.0100606,1.27839,2.87064,0.247719,0.592868,0.316283,0.0908492
4964.45,0.96945,0.113347,5,31,0,-4955.56,-5.10881,-5.11969,-2.53912,0.0448003,0.0491416,0.000742207,0.18063,44.1763,57.3291,0.468543,0.302346,0.154656,0.0342903,0.149224,0.377869,0.00165336,0.103289,0.118717,0.0156905,0.0319397,0.00359843,1.57362,1.54605,0.613374,0.609335,0.311623,0.079042
4957.22,0.899963,0.113347,4,15,0,-4945.89,-5.00967,-5.14544,-1.93749,0.0467733,0.0492677,0.00699258,0.206752,40.782,49.2079,0.451116,0.207152,0.148177,0.295422,0.167308,0.390507,0.00859237,0.0998937,0.106531,0.00575159,0.00651749,0.0106754,1.48171,1.83972,0.54164,0.601317,0.282024,0.116659
4961.68,0.945509,0.113347,6,63,0,-4942.31,-4.94993,-4.8994,-5.40896,0.0408489,0.0483845,0.00217841,0.134139,22.7923,17.9343,0.47634,0.176711,0.432915,0.000154909,0.173768,0.328131,0.00261866,0.114671,0.100218,0.2073,0.0259821,0.00752314,1.3923,1.87672,0.229176,0.609436,0.307223,0.0833408
4966.22,0.900976,0.113347,5,31,0,-4946.85,-4.73202,-4.98036,-3.12165,0.034738,0.048384,0.00414366,0.133074,28.3798,36.2794,0.484171,0.26959,0.349739,0.00805414,0.187084,0.345657,0.00355228,0.130808,0.0895631,0.0120431,0.00228363,0.0125843,1.80305,1.85405,0.239472,0.55966,0.308574,0.131767
4969.35,0.994946,0.113347,5,31,0,-4949.44,-4.60093,-4.9615,-4.36752,0.0351923,0.0488004,0.0367325,0.201006,39.3985,36.523,0.466827,0.227866,0.11296,0.108656,0.202241,0.36204,0.00942156,0.108375,0.0999821,0.0133223,0.00241201,0.0149199,1.17727,2.07051,0.413409,0.551905,0.356571,0.0915239
4965.77,0.817534,0.113347,5,31,0,-4958.63,-4.9658,-4.8804,-4.41431,0.0408297,0.0490432,0.000260043,0.163248,27.7106,34.3775,0.487784,0.296471,0.169831,0.00607015,0.176841,0.280435,0.0800405,0.134136,0.0835541,0.193901,0.0018299,0.00257526,1.61882,1.58873,0.319433,0.624169,0.282825,0.0930056
4966.18,0.878892,0.113347,5,31,0,-4954.75,-5.19212,-5.14999,-5.39753,0.0419469,0.0480687,0.0425711,0.126664,40.1728,42.6244,0.476764,0.302551,0.139057,0.0156428,0.141286,0.438624,0.00893894,0.116845,0.119438,0.0144836,0.00338709,0.00565646,1.21442,2.39672,0.334631,0.606304,0.306509,0.0871869
4967.05,0.987817,0.113347,5,63,0,-4953.83,-4.97985,-5.06146,-4.82459,0.0437021,0.0489139,0.0139506,0.131911,39.5388,42.2913,0.46382,0.0867448,0.424576,0.0924468,0.0999492,0.324802,0.021695,0.0689608,0.117703,0.0552794,0.00272662,0.0194554,1.38834,2.02243,0.284642,0.644056,0.24333,0.112615
4966.04,0.998484,0.113347,5,31,0,-4954.87,-4.93568,-5.13732,-5.03985,0.0421797,0.0488223,0.0216829,0.189792,29.4838,24.2724,0.49109,0.358645,0.108508,0.0249196,0.294733,0.401024,0.0685645,0.16145,0.104463,0.0450426,0.0445785,0.0115529,1.45027,1.89679,0.606341,0.6224,0.311503,0.0660974
4966.43,0.992304,0.113347,5,31,0,-4955.24,-5.26658,-4.99366,-4.61602,0.0435755,0.0496152,0.00202338,0.15114,33.2183,26.5078,0.483407,0.281025,0.107849,0.0048112,0.292793,0.285597,0.0525671,0.183049,0.103528,0.119112,0.0166208,0.00413087,1.62124,1.95501,0.695888,0.627159,0.294706,0.0781347
4961.44,0.985804,0.113347,5,63,0,-4946.43,-4.1947,-4.73457,-4.9742,0.0284481,0.0490851,0.00770327,0.223249,37.8766,50.8162,0.477824,0.157421,0.370784,0.180416,0.135164,0.356802,0.0309877,0.0862808,0.104146,0.108043,0.0233163,0.00751578,2.46156,2.42017,0.19838,0.554902,0.297458,0.14764
4965.16,0.88432,0.113347,5,31,0,-4946.99,-4.32478,-4.64889,-3.9617,0.0318739,0.0453581,0.00525845,0.204938,35.5841,36.5428,0.437506,0.196892,0.271034,0.0419445,0.153701,0.329084,0.0285376,0.10723,0.0748333,0.0409497,0.0111279,0.00338651,1.92746,1.91671,0.141486,0.618738,0.277121,0.10414
4963.66,0.868505,0.113347,6,63,0,-4950.25,-4.87717,-4.51505,-4.36355,0.0425851,0.0456221,0.00393625,0.209472,26.2561,38.4545,0.494913,0.0732124,0.386145,0.0263577,0.142332,0.345697,0.0203804,0.083,0.0792571,0.0502122,0.000568506,0.00488528,1.73764,2.68489,0.355997,0.621476,0.259847,0.118678
4959.8,0.938813,0.113347,5,31,0,-4950.01,-4.91082,-4.52632,-4.6539,0.0434545,0.0409068,0.00460964,0.189814,23.7978,41.0016,0.498816,0.13369,0.348996,0.0368148,0.17376,0.298643,0.0162982,0.114015,0.0866162,0.0756542,0.000293913,0.00799092,1.85964,2.3317,0.44949,0.619802,0.239633,0.140565
4962.59,0.915099,0.113347,5,31,0,-4944.31,-4.70848,-4.66412,-4.60457,0.0339405,0.047434,0.00978504,0.186712,32.5734,29.4328,0.492959,0.0295666,0.484672,0.00688698,0.178143,0.337681,0.0109886,0.127155,0.0748665,0.0420063,0.0117512,0.00973377,1.31529,2.41589,0.560249,0.677834,0.245913,0.076253
4964.74,0.893262,0.113347,5,31,0,-4953.24,-5.04007,-4.66956,-4.01764,0.0444205,0.0443608,0.00352464,0.171886,28.0529,32.7863,0.478708,0.0455734,0.106849,0.181732,0.173408,0.227201,0.0319524,0.0993463,0.0727064,0.0718568,0.032593,0.00588029,1.08046,1.74736,0.446058,0.636785,0.24644,0.116774
4960.32,0.932748,0.113347,5,63,0,-4949,-5.24752,-5.03944,-4.73987,0.0474464,0.0493205,0.00238936,0.166176,41.6364,36.7777,0.485958,0.0798109,0.497823,0.00311038,0.178059,0.240787,0.0262984,0.109997,0.0803004,0.0586949,0.00476939,0.0172473,1.8161,1.82476,0.147645,0.624427,0.266837,0.108736
4961.35,0.928529,0.113347,5,63,0,-4946.82,-5.43277,-5.10909,-4.98273,0.0461825,0.0499623,0.0106281,0.134129,38.7401,32.0546,0.494485,0.283687,0.490431,0.00911904,0.165871,0.330609,0.00814222,0.119687,0.0894609,0.0481499,0.0077684,0.0159478,1.45418,1.26254,0.302851,0.608578,0.279207,0.112215
4956.26,0.889051,0.113347,5,31,0,-4945.79,-5.4262,-5.18092,-5.01426,0.0456561,0.0498075,0.000390201,0.107352,39.2836,34.9395,0.499065,0.111688,0.494425,0.0118817,0.177869,0.248307,0.00503699,0.110874,0.091747,0.0544972,0.0511871,0.0135629,1.26705,3.068,0.374105,0.572354,0.324091,0.103555
4960.06,0.929695,0.113347,5,31,0,-4935.8,-4.58331,-4.80209,-4.81178,0.0354415,0.0465226,0.0220837,0.162909,29.0137,30.5094,0.455709,0.0618908,0.366257,0.0223047,0.153724,0.322598,0.0411231,0.0823069,0.0959305,0.0614199,0.000929767,0.0107973,1.59975,0.84297,0.377661,0.66403,0.192421,0.14355
