# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = calibration_model
# start_datetime = 2022-07-04 15:06:10 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 3504925963 (Default)
# output
#   file = fit-vb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,log_p__,log_g__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Stepsize adaptation complete.
# eta = 1
0,-486.257,-10.6715,-4.96861,-5.12308,-4.51861,0.0421878,0.0433173,0.00103026,0.155771,34.9719,38.6288,0.463788,0.161534,0.265622,0.0573548,0.175018,0.375561,0.0608126,0.1293,0.106061,0.0564883,0.0160806,0.00551832,1.71008,2.36743,0.274162,0.525665,0.357444,0.116892
0,-484.616,-12.5153,-4.91494,-5.13606,-4.46847,0.042322,0.0490007,0.00174639,0.177062,35.2052,42.7424,0.495541,0.298972,0.069792,0.0164327,0.15716,0.368122,0.0314957,0.124539,0.0969399,0.0688917,0.00187413,0.0143723,1.85545,1.57723,0.433539,0.504599,0.355483,0.139918
0,-477.425,-10.1462,-4.90649,-5.09202,-4.05764,0.042188,0.04898,0.00566851,0.169878,37.6599,30.4395,0.479258,0.209306,0.131149,0.0259807,0.194682,0.305474,0.0249308,0.112493,0.111597,0.0779338,0.00560467,0.00204864,1.2894,1.3148,0.175205,0.570319,0.330172,0.0995085
0,-477.456,-11.2431,-4.95804,-5.10837,-4.22593,0.0405525,0.0483413,0.00097252,0.170212,39.0514,38.8843,0.483594,0.106139,0.315048,0.0300626,0.170281,0.297814,0.013867,0.11367,0.0875183,0.101345,0.00320222,0.00424526,2.00066,2.66309,0.388505,0.583869,0.307437,0.108694
0,-477.81,-10.5046,-4.86026,-5.05651,-4.7125,0.0420496,0.0494291,0.0035331,0.161776,35.6221,30.3705,0.484502,0.350024,0.302214,0.0175185,0.169956,0.361935,0.0193443,0.10133,0.109874,0.0574869,0.0334182,0.00338494,1.49607,3.98518,0.586115,0.597232,0.299844,0.102924
0,-474.531,-7.02144,-5.04011,-5.06588,-4.78031,0.0433471,0.0487709,0.00144882,0.175344,32.8404,39.588,0.476341,0.17603,0.133464,0.071508,0.186796,0.333828,0.072209,0.119943,0.117927,0.0709447,0.00952212,0.00937998,1.49122,1.81127,0.350722,0.528584,0.352013,0.119403
0,-474.971,-9.96577,-5.08468,-5.10034,-4.70895,0.0433365,0.0493884,0.00345153,0.179339,38.592,43.7845,0.47885,0.155545,0.188559,0.0289523,0.170381,0.307888,0.0604729,0.112285,0.111499,0.155503,0.00730851,0.00796379,1.7654,2.22112,0.74672,0.56739,0.342053,0.0905563
0,-478.415,-12.929,-4.94043,-5.03516,-4.35507,0.0434125,0.0490868,0.00169599,0.164668,36.2871,27.3487,0.493689,0.358407,0.200489,0.0105122,0.1445,0.313223,0.0396053,0.109534,0.120318,0.0375086,0.025734,0.00541688,1.20859,3.80838,0.351212,0.588721,0.328152,0.0831276
0,-473.033,-9.3665,-4.92872,-5.09561,-4.469,0.0409256,0.0497858,0.00590979,0.166684,30.6096,27.2002,0.490195,0.223346,0.112943,0.0639634,0.16735,0.356155,0.0466432,0.131801,0.105817,0.0453591,0.0103344,0.0050468,1.40228,2.2968,0.347715,0.560678,0.370022,0.0693
0,-474.78,-9.58426,-4.9612,-5.13139,-4.74499,0.0428624,0.0490381,0.00148516,0.178122,43.4772,34.1383,0.484562,0.180757,0.358121,0.0751401,0.164403,0.324066,0.0748393,0.106174,0.117261,0.0973298,0.0319212,0.00341201,1.14192,1.60514,0.308368,0.541226,0.357337,0.101437
0,-472.579,-11.0289,-5.04138,-5.00759,-5.21549,0.0437674,0.0481545,0.00435994,0.155964,34.468,25.7605,0.495128,0.267711,0.234288,0.02995,0.174031,0.343928,0.0362116,0.122357,0.106316,0.0998826,0.0185994,0.00901134,1.12488,2.69537,0.262161,0.600431,0.298867,0.100702
0,-473.824,-6.86837,-4.98483,-5.07284,-4.83921,0.0428649,0.0492129,0.00112586,0.176417,35.2712,30.9038,0.491324,0.2205,0.268307,0.0183095,0.168166,0.350298,0.0299698,0.11466,0.098092,0.0357303,0.0339458,0.00972951,1.23681,2.75352,0.300172,0.623085,0.298586,0.0783292
0,-478.151,-12.8457,-4.94592,-5.09297,-4.73893,0.0424014,0.0498977,0.00239558,0.175881,38.6238,30.6145,0.496368,0.272339,0.288839,0.0339349,0.194803,0.389811,0.031807,0.100746,0.118055,0.153063,0.0138327,0.00503045,1.22672,2.05964,0.503809,0.612651,0.292122,0.095227
0,-482.585,-20.0939,-4.87231,-4.97802,-4.8763,0.0398242,0.0437507,0.000817093,0.168544,36.7142,38.8686,0.486834,0.328588,0.310826,0.0451149,0.168188,0.344687,0.007651,0.134822,0.111165,0.0996574,0.0667735,0.00305082,1.24768,2.24797,0.771775,0.56438,0.320391,0.11523
0,-498.166,-18.7313,-5.0918,-5.13971,-4.55958,0.0399548,0.0483205,0.00131006,0.178529,28.2367,33.4456,0.369327,0.284879,0.30253,0.00371234,0.174944,0.38968,0.0233272,0.124665,0.0941264,0.0586169,0.0578782,0.0107591,1.56115,2.69602,0.308519,0.549195,0.381541,0.0692645
0,-483.972,-17.3481,-4.99929,-5.11852,-4.21597,0.0419421,0.0471574,0.0031845,0.165682,40.7212,33.7989,0.489367,0.211218,0.244941,0.243397,0.183014,0.389654,0.123658,0.105568,0.123869,0.0780646,0.00663962,0.00844178,2.76441,1.88705,0.489972,0.52897,0.331558,0.139472
0,-480.911,-15.3607,-5.05421,-5.20457,-4.10342,0.0422717,0.0493772,0.00184143,0.180562,32.043,26.017,0.49632,0.177003,0.134602,0.00748827,0.181254,0.396671,0.0337489,0.117225,0.119328,0.0542678,0.00485969,0.00326681,0.94932,2.99668,0.399992,0.599238,0.291115,0.109647
0,-484.704,-17.9163,-5.11189,-5.01467,-4.87595,0.0422879,0.0494807,0.0111563,0.15165,30.4067,42.0083,0.452677,0.23441,0.270627,0.0165798,0.179667,0.342447,0.0156004,0.129778,0.114806,0.193902,0.0430142,0.00809592,0.771881,2.07419,0.4644,0.597311,0.322458,0.0802316
0,-481.936,-20.2054,-5.06529,-5.15272,-4.52368,0.0401933,0.049877,0.0011138,0.159529,35.7142,32.7853,0.484101,0.183835,0.322003,0.00366158,0.168325,0.30436,0.0428372,0.112232,0.074216,0.0573301,0.0315172,0.00335021,1.55023,1.56804,0.631503,0.548764,0.32192,0.129316
0,-481.639,-10.7656,-5.00341,-5.12367,-4.98701,0.0396471,0.047916,0.00362216,0.182124,33.8297,41.891,0.485054,0.19715,0.317283,0.155208,0.180531,0.315106,0.0897563,0.118439,0.112675,0.0751223,0.0350469,0.00457039,1.22879,2.53862,0.313787,0.539496,0.33996,0.120545
0,-480.406,-17.8406,-4.91142,-5.02463,-5.25206,0.0433422,0.0493985,0.0101156,0.178669,29.486,26.807,0.496956,0.272551,0.357114,0.00595047,0.186475,0.405394,0.045399,0.1144,0.0920116,0.0501326,0.0361009,0.00432068,1.71889,2.59482,0.527611,0.577599,0.336603,0.0857988
0,-476.378,-11.9023,-4.99687,-5.12841,-4.58324,0.0416058,0.0492597,0.0027714,0.149746,37.9032,40.696,0.493998,0.276031,0.369214,0.0093112,0.152364,0.331817,0.0270638,0.120587,0.087554,0.114967,0.0169012,0.0117484,1.08967,1.72476,0.543033,0.599496,0.326615,0.0738887
0,-475.816,-10.8406,-5.04589,-5.11932,-4.96023,0.0403227,0.0498331,0.000623365,0.162688,37.6495,41.5924,0.486229,0.185903,0.235562,0.0173762,0.182943,0.365681,0.0203138,0.12815,0.099133,0.0947258,0.00685588,0.00276182,1.74656,1.56418,0.625124,0.614631,0.281796,0.103573
0,-475.802,-6.79706,-5.00964,-5.12812,-4.35093,0.0391022,0.0480207,0.00222742,0.172616,38.5143,38.4862,0.484449,0.265028,0.231095,0.0187311,0.167454,0.350451,0.0119816,0.116957,0.101152,0.0722447,0.00544315,0.00407208,1.24903,1.92125,0.319312,0.599907,0.303796,0.096297
0,-479.428,-12.1808,-4.94534,-5.11325,-5.38593,0.0413686,0.0492858,0.00989044,0.154713,39.609,38.8181,0.422791,0.350604,0.206585,0.0369344,0.194762,0.351514,0.0444246,0.109196,0.107991,0.105358,0.00405543,0.00462938,1.4571,2.50203,0.239174,0.553883,0.36365,0.0824676
